,Data de Criação,Título do Livro,Categoria,Organizadores,Link do PDF
123,17/07/2017 14:54,,Territórios em números: insumos para políticas públicas a partir da análise do IDHM e do IVS de municípios e Unidades da Federação brasileira,"Bárbara Oliveira Marguti, Marco Aurélio Costa e Carlos Vinícius da Silva Pinto / Brasília, 2017",/portal/images/stories/PDFs/livros/livros/170828_territorios_em_numeros_1.pdf
124,05/07/2017 10:00,,Políticas de inovação pelo lado da demanda no Brasil,,/portal/images/stories/PDFs/livros/livros/20170705_politicas_de_inovacao.pdf
125,28/06/2017 09:00,Volume 2,Fronteiras do Brasil: diagnóstico e agenda de pesquisa para política pública,,/portal/images/stories/PDFs/livros/livros/170628_fronteiras_do_brasil_volume2.pdf
126,27/06/2017 16:48,,"Tributação no Brasil: estudos, ideias e propostas",,/portal/images/stories/PDFs/livros/livros/170512_livro_tributacao.pdf
127,26/06/2017 17:11,,,,/portal/images/stories/PDFs/livros/livros/livro_braziliancooperation_ingles2011-2013.pdf
128,19/06/2017 14:23,,Licenciamento Ambiental e Governança Territorial: registros e contribuições do seminário internacional,,/portal/images/stories/PDFs/livros/livros/170619_livro_licenciamento_ambiental.pdf
129,24/05/2017 15:40,,,,/portal/images/stories/PDFs/livros/livros/170606_brasil_2035_cenarios_para_desenvolvimento.PDF
130,24/05/2017 15:40,,Brasil 2035 cenários para o desenvolvimento,,/portal/images/stories/PDFs/livros/livros/170606_brasil_2035_cenarios_para_desenvolvimento.PDF
131,10/05/2017 10:30,,Desenvolvimento Humano para Além das Médias,,/portal/images/stories/PDFs/livros/livros/170510_desenvolvimento_humano_para_alem_das_medias.pdf
132,04/04/2017 15:20,,Agricultura e indústria no Brasil: inovação e competitividade,,/portal/images/stories/PDFs/livros/livros/170626_livro_agricultura_no_brasil.pdf
133,15/02/2017 08:01,,Avaliação de Políticas Públicas no Brasil: uma análise da Política Nacional de Desenvolvimento Regional (PNDR),,/portal/images/stories/PDFs/livros/livros/170215_livro_avalicao_politicas_publicas_brasil_vol3.pdf
134,13/02/2017 16:22,,,"Aristides Monteiro Neto, César Nunes de Castro e Carlos Antonio Brandão/Brasília, 2017",/portal/images/stories/PDFs/livros/livros/20170213_livro_desenvolvimentoregional.pdf
